############################
# World Cup 2014 Brazil

#Group A|Brazil|Croatia|Mexico|Cameroon
#Group B|Spain|Netherlands|Chile|Australia
#Group C|Colombia|Greece|Cote D Ivoire|Japan
#Group D|Uruguay|Costa Rica|England|Italy
#Group E|Switzerland|Ecuador|France|Honduras
#Group F|Argentina|Bosnia Herzegovina|Iran|Nigeria
#Group G|Germany|Portugal|Ghana|United States
#Group H|Belgium|Algeria|Russia|South Korea

1|Thu Jun 12 17:00 UTC-03:00|Brazil|Croatia|Arena de São Paulo, São Paulo
2|Fri Jun 13 13:00 UTC-03:00|Mexico|Cameroon|Estádio das Dunas, Natal
17|Tue Jun 17 16:00 UTC-03:00|Brazil|Mexico|Estádio Castelão, Fortaleza
18|Wed Jun 18 18:00 UTC-04:00|Cameroon|Croatia|Arena Amazônia, Manaus
33|Mon Jun 23 17:00 UTC-03:00|Cameroon|Brazil|Brasília
34|Mon Jun 23 17:00 UTC-03:00|Croatia|Mexico|Recife
3|Fri Jun 13 16:00 UTC-03:00|Spain|Netherlands|Arena Fonte Nova, Salvador
4|Fri Jun 13 18:00 UTC-04:00|Chile|Australia|Arena Pantanal, Cuiabá
19|Wed Jun 18 16:00 UTC-03:00|Spain|Chile|Estádio do Maracanã, Rio de Janeiro
20|Wed Jun 18 13:00 UTC-03:00|Australia|Netherlands|Estádio Beira-Rio, Porto Alegre
35|Mon Jun 23 13:00 UTC-03:00|Australia|Spain|Curitiba 
36|Mon Jun 23 13:00 UTC-03:00|Netherlands|Chile|São Paulo 
5|Sat Jun 14 13:00 UTC-03:00|Colombia|Greece|Estádio Mineirão, Belo Horizonte 
6|Sat Jun 14 22:00 UTC-03:00|Cote D Ivoire|Japan|Arena Pernambuco, Recife 
21|Thu Jun 19 13:00 UTC-03:00|Colombia|Cote D Ivoire|Estádio Nacional Mané Garrincha, Brasília 
22|Thu Jun 19 19:00 UTC-03:00|Japan|Greece|Estádio das Dunas, Natal
37|Tue Jun 24 16:00 UTC-04:00|Japan|Colombia|Cuiabá
38|Tue Jun 24 17:00 UTC-03:00|Cote D Ivoire|Greece|Fortaleza
7|Sat Jun 14 16:00 UTC-03:00|Uruguay|Costa Rica|Estádio Castelão, Fortaleza
8|Sat Jun 14 18:00 UTC-04:00|England|Italy|Arena Amazônia, Manaus
23|Thu Jun 19 16:00 UTC-03:00|Uruguay|England|Arena de São Paulo, São Paulo
24|Fri Jun 20 13:00 UTC-03:00|Italy|Costa Rica|Arena Pernambuco, Recife
39|Tue Jun 24 13:00 UTC-03:00|Italy|Uruguay|Natal
40|Tue Jun 24 13:00 UTC-03:00|Costa Rica|England|Belo Horizonte 
9|Sun Jun 15 13:00 UTC-03:00|Switzerland|Ecuador|Estádio Nacional Mané Garrincha, Brasília
10|Sun Jun 15 16:00 UTC-03:00|France|Honduras|Estádio Beira-Rio, Porto Alegre
25|Fri Jun 20 16:00 UTC-03:00|Switzerland|France|Arena Fonte Nova, Salvador
26|Fri Jun 20 19:00 UTC-03:00|Honduras|Ecuador|Arena da Baixada, Curitiba
41|Wed Jun 25 16:00 UTC-04:00|Honduras|Switzerland|Manaus
42|Wed Jun 25 17:00 UTC-03:00|Ecuador|France|Rio de Janeiro
11|Sun Jun 15 19:00 UTC-03:00|Argentina|Bosnia Herzegovina|Estádio do Maracanã, Rio de Janeiro
12|Mon Jun 16 16:00 UTC-03:00|Iran|Nigeria|Arena da Baixada, Curitiba
27|Sat Jun 21 13:00 UTC-03:00|Argentina|Iran|Estádio Mineirão, Belo Horizonte
28|Sat Jun 21 18:00 UTC-04:00|Nigeria|Bosnia Herzegovina|Arena Pantanal, Cuiabá
43|Wed Jun 25 13:00 UTC-03:00|Nigeria|Argentina|Porto Alegre
44|Wed Jun 25 13:00 UTC-03:00|Bosnia Herzegovina|Iran|Salvador
13|Mon Jun 16 13:00 UTC-03:00|Germany|Portugal|Arena Fonte Nova, Salvador
14|Mon Jun 16 19:00 UTC-03:00|Ghana|United States|Estádio das Dunas, Natal
29|Sat Jun 21 16:00 UTC-03:00|Germany|Ghana|Fortaleza
30|Sun Jun 22 18:00 UTC-04:00|United States|Portugal|Manaus
45|Thu Jun 26 13:00 UTC-03:00|United States|Germany|Recife
46|Thu Jun 26 13:00 UTC-03:00|Portugal|Ghana|Brasília
15|Tue Jun 17 13:00 UTC-03:00|Belgium|Algeria|Estádio Mineirão, Belo Horizonte
16|Tue Jun 17 18:00 UTC-04:00|Russia|South Korea|Arena Pantanal, Cuiabá
31|Sun Jun 22 13:00 UTC-03:00|Belgium|Russia|Rio de Janeiro
32|Sun Jun 22 16:00 UTC-03:00|South Korea|Algeria|Porto Alegre
47|Thu Jun 26 17:00 UTC-03:00|South Korea|Belgium|São Paulo
48|Thu Jun 26 17:00 UTC-03:00|Algeria|Russia|Curitiba
